#Constant Temperature fit results; RIPL III discrete level library; December 2021 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]     
#-------------------------------------------------------------------------------------------------------------------------
  40  99 Zr   0.55835   0.03894  -0.59506   0.10948  74  33   7   1  1.32670  0.00000  1.251E-01   F   0             2.679
  40 100 Zr   0.53832   0.03729   0.04373   0.07490  68   8   7   7  1.19623  1.06187  7.723E-02   F   0             0.000
  40 101 Zr   0.52358   0.03544  -0.58174   0.09389  64  26   7   1  1.12060  0.00000  1.187E-01   F   0             3.242
  40 102 Zr   0.51322   0.03351   0.14029   0.06941  51   9   7   3  1.24230  0.47828  4.141E-02       0             0.000
  40 103 Zr   0.50644   0.03163   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  40 104 Zr   0.50263   0.02996   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  40 105 Zr   0.50131   0.02870   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  40 106 Zr   0.50205   0.02806   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  40 107 Zr   0.50448   0.02822   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 108 Zr   0.50824   0.02924   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  40 109 Zr   0.51293   0.03105   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 110 Zr   0.51815   0.03340   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 111 Zr   0.52341   0.03595   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 112 Zr   0.52819   0.03826   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  40 113 Zr   0.53191   0.03990   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  79 Nb   0.75335   0.05377   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  80 Nb   0.78958   0.05562   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  81 Nb   0.83078   0.05870   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41  82 Nb   0.87580   0.06355   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  41  83 Nb   0.92259   0.07048  -0.11114   0.18829  20  15  14   1  2.48440  0.00000  9.207E-02   F   0             4.440
  41  84 Nb   0.96795   0.07915  -1.76844   0.18816  60  18   7   1  0.92390  0.00000  1.582E-01   F   0             3.954
  41  85 Nb   1.00733   0.08832   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  41  86 Nb   1.03501   0.09577  -1.64069   0.19196  79   8   7   1  0.49430  0.00000  3.167E-02       0             0.000
  41  87 Nb   1.04490   0.09885  -0.82795   0.26426  94  15  14   1  1.97660  0.00000  2.408E-02       0             3.899
  41  88 Nb   1.03318   0.09588  -0.46439   0.19273  47   8   7   1  1.67571  0.00000  8.645E-03       0             0.000
  41  89 Nb   1.00248   0.08799  -0.80901   0.20914  47  17   7   1  2.15156  0.00000  2.588E-02 *     0             4.024
  41  90 Nb   0.95805   0.07760  -1.60841   0.24591  99  39  14   9  1.88021  0.65119  8.326E-03 *     0             3.778
  41  91 Nb   0.90548   0.06713  -0.39115   0.20099 149  29  13   2  2.66025  0.10460  6.297E-03 *     0             3.329
  41  92 Nb   0.84967   0.05829  -1.22669   0.21135 166  65  19   1  2.31100  0.00000  6.520E-03 *     0             3.678
  41  93 Nb   0.79436   0.05180  -0.94267   0.17209 128  68   7   7  2.36750  0.94980  1.563E-02 *     0             3.429
  41  94 Nb   0.74207   0.04755  -1.48606   0.17626 385  73  20   2  1.69574  0.04089  1.012E-02 *     0             3.643
  41  95 Nb   0.69431   0.04489  -0.62122   0.12773 119  30   9   3  1.73000  0.72420  7.211E-03 *     0             3.131
  41  96 Nb   0.65187   0.04313  -0.55190   0.12574  37  24  14   1  1.53700  0.00000  8.819E-03 *     0             2.729
  41  97 Nb   0.61505   0.04174   0.27567   0.10219  63  18   7   7  2.10591  1.43392  1.580E-02 *     0             2.138
  41  98 Nb   0.58390   0.04040   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  41  99 Nb   0.55835   0.03894  -0.20829   0.10408  24  15  14   2  1.30500  0.36527  2.769E-03       0             1.837
  41 100 Nb   0.53832   0.03729  -0.78131   0.09142  23  19   7   1  0.77190  0.00000  1.626E-01   F   0             3.394
  41 101 Nb   0.52358   0.03544  -0.72621   0.10406  61  25  14   1  0.95277  0.00000  5.125E-02   F   0             2.918
  41 102 Nb   0.51322   0.03351   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 103 Nb   0.50644   0.03163  -0.63789   0.08655  48  17  14   1  0.76782  0.00000  5.643E-02   F   0             3.144
  41 104 Nb   0.50263   0.02996   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  41 105 Nb   0.50131   0.02870   0.33849   0.07767  25  16  14   1  1.72060  0.00000  2.294E-02       0             4.889
  41 106 Nb   0.50205   0.02806   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  41 107 Nb   0.50448   0.02822   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 108 Nb   0.50824   0.02924   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  41 109 Nb   0.51293   0.03105   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  41 110 Nb   0.51815   0.03340   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 111 Nb   0.52341   0.03595   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 112 Nb   0.52819   0.03826   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 113 Nb   0.53191   0.03990   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 114 Nb   0.53413   0.04051   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 115 Nb   0.53505   0.04011   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  41 116 Nb   0.53502   0.03889   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  81 Mo   0.83078   0.05870   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  82 Mo   0.87580   0.06355   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  83 Mo   0.92259   0.07048   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  84 Mo   0.96795   0.07915   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  42  85 Mo   1.00733   0.08832   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42  86 Mo   1.03501   0.09577   0.10727   0.19820  35   9   7   1  2.37280  0.00000  5.131E-03       0             0.000
  42  87 Mo   1.04490   0.09885   0.01729   0.19846  28   8   7   1  2.28370  0.00000  8.090E-02   F   0             0.000
  42  88 Mo   1.03318   0.09588   0.39768   0.22859  61  16   7   4  3.21343  1.65483  3.085E-02       0             3.643
  42  89 Mo   1.00248   0.08799  -0.27379   0.19083  35  11   7   1  2.11000  0.00000  4.635E-02       0             0.000
  42  90 Mo   0.95805   0.07760   0.35516   0.21469  90  29   7   7  3.53980  2.45000  5.676E-02   F   0             3.555
  42  91 Mo   0.90548   0.06713  -0.30900   0.20723 159  48   7   6  3.19100  1.53190  4.169E-02       0             3.538
  42  92 Mo   0.84967   0.05829   0.98481   0.16972 243  36   7   6  4.01931  2.61241  6.991E-03 *     0             2.957
  42  93 Mo   0.79436   0.05180  -0.11383   0.18934 144  94   7   8  3.48617  2.14198  1.611E-02 *     0             3.284
  42  94 Mo   0.74207   0.04755   0.53606   0.16545 173  76   7   6  3.73000  2.06735  7.028E-03 *     0             2.921
  42  95 Mo   0.69431   0.04489  -0.56314   0.12984 143  28  11   1  1.74290  0.00000  1.062E-02 *     0             2.484
  42  96 Mo   0.65187   0.04313   0.56499   0.13168 122  44   7  12  3.02458  2.23463  1.148E-02 *     0             2.743
  42  97 Mo   0.61505   0.04174  -0.80427   0.12880 189  33  14   1  1.34100  0.00000  9.338E-03 *     0             2.260
  42  98 Mo   0.58390   0.04040   0.61711   0.12879 416  52   7  19  2.91580  2.34362  6.774E-03 *     0             2.717
  42  99 Mo   0.55835   0.03894  -0.69384   0.13343 141  49  18   9  1.47170  0.68410  6.106E-03 *     0             2.658
  42 100 Mo   0.53832   0.03729   0.56426   0.10109 348  27   7   7  2.33980  1.50466  1.168E-02 *     0             2.361
  42 101 Mo   0.52358   0.03544  -0.92694   0.09714  67  34   7   4  0.91419  0.17096  1.970E-01   F   0             2.265
  42 102 Mo   0.51322   0.03351   0.19084   0.07298  66  11   7   5  1.39839  0.84789  6.267E-02   F   0             2.289
  42 103 Mo   0.50644   0.03163  -0.63003   0.07483  45  16   7   1  0.74620  0.00000  1.387E-01   F   0             2.676
  42 104 Mo   0.50263   0.02996   0.14523   0.06193  70   9   7   8  1.27520  1.21482  7.366E-02   F   0             0.000
  42 105 Mo   0.50131   0.02870  -0.70246   0.06934  64  18   7   1  0.71830  0.00000  1.153E-01   F   0             2.861
  42 106 Mo   0.50205   0.02806   0.04036   0.05645  75   8   7   5  1.06777  0.88517  4.481E-02       0             0.000
  42 107 Mo   0.50448   0.02822  -0.66362   0.06198  42  12   7   1  0.58190  0.00000  7.333E-02   F   0             2.915
  42 108 Mo   0.50824   0.02924   0.13624   0.05874  34   8   7   8  1.23210  1.23210  9.493E-02   F   0             0.000
  42 109 Mo   0.51293   0.03105   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  42 110 Mo   0.51815   0.03340   0.00000   1.00000  10   1   1   1  0.00000  0.00000                  0             0.000
  42 111 Mo   0.52341   0.03595   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  42 112 Mo   0.52819   0.03826   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 113 Mo   0.53191   0.03990   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 114 Mo   0.53413   0.04051   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 115 Mo   0.53505   0.04011   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 116 Mo   0.53502   0.03889   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 117 Mo   0.53442   0.03708   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 118 Mo   0.53364   0.03495   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  42 119 Mo   0.53309   0.03281   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  83 Tc   0.92259   0.07048   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  84 Tc   0.96795   0.07915   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  85 Tc   1.00733   0.08832   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43  86 Tc   1.03501   0.09577   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  43  87 Tc   1.04490   0.09885   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  43  88 Tc   1.03318   0.09588   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  43  89 Tc   1.00248   0.08799  -0.28834   0.23798  40  16  14   1  2.53050  0.00000  2.439E-02       0             4.883
  43  90 Tc   0.95805   0.07760  -1.36369   0.15554  51   8   7   1  0.63690  0.00000  1.460E-02       0             0.000
  43  91 Tc   0.90548   0.06713  -0.62698   0.17944  64  15  14   1  1.82133  0.00000  4.339E-03       0             3.677
  43  92 Tc   0.84967   0.05829  -1.04029   0.14337  51  20   7   1  1.50286  0.00000  6.869E-02   F   0             3.983
  43  93 Tc   0.79436   0.05180  -0.05610   0.14762 131  21  14   2  2.33889  0.39184  4.132E-02       0             3.588
  43  94 Tc   0.74207   0.04755  -0.79206   0.15820 111  52  14   1  2.42450  0.00000  2.678E-02 *     0             3.574
  43  95 Tc   0.69431   0.04489  -0.67345   0.13929 133  32  15   9  1.74702  0.95699  9.634E-03 *     0             3.011
  43  96 Tc   0.65187   0.04313  -1.61748   0.15905 129  74  20   2  1.18756  0.03423  1.464E-02 *     0             3.619
  43  97 Tc   0.61505   0.04174  -0.85985   0.15918 209 131   7   6  2.13480  0.65690  1.211E-02 *     0             2.962
  43  98 Tc   0.58390   0.04040  -1.38754   0.13423  99  43  18   1  0.79950  0.00000  1.151E-02 *     0             3.555
  43  99 Tc   0.55835   0.03894  -0.72125   0.12516 144  41  14   5  1.32940  0.50910  1.118E-02 *     0             2.574
  43 100 Tc   0.53832   0.03729  -1.25563   0.12894  92  49  20   2  0.83800  0.17215  1.724E-02 *     0             3.551
  43 101 Tc   0.52358   0.03544  -0.77523   0.10708  98  30  14   8  1.04500  0.51525  2.295E-02 *     0             2.624
  43 102 Tc   0.51322   0.03351  -0.92036   0.08362  25  22   7   1  0.63700  0.00000  2.093E-01   F   0             0.000
  43 103 Tc   0.50644   0.03163  -0.75883   0.08831  49  19  14   6  0.69159  0.25900  5.644E-02   F   0             2.632
  43 104 Tc   0.50263   0.02996  -0.73924   0.06457  20  11   7   1  0.44260  0.00000  6.974E-02   F   0             2.886
  43 105 Tc   0.50131   0.02870  -0.86251   0.08088  58  20  14   1  0.61026  0.00000  6.571E-02   F   0             2.537
  43 106 Tc   0.50205   0.02806   0.00000   1.00000  17   1   1   1  0.00000  0.00000                  0             0.000
  43 107 Tc   0.50448   0.02822  -0.65369   0.07627  35  16  14   1  0.76605  0.00000  6.921E-02   F   0             3.107
  43 108 Tc   0.50824   0.02924   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
  43 109 Tc   0.51293   0.03105  -0.81024   0.08481  52  17  14   1  0.64368  0.00000  7.885E-02   F   0             3.053
  43 110 Tc   0.51815   0.03340  -0.84775   0.07568  27  14   7   1  0.51240  0.00000  1.776E-01   F   0             1.433
  43 111 Tc   0.52341   0.03595   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  43 112 Tc   0.52819   0.03826   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  43 113 Tc   0.53191   0.03990   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  43 114 Tc   0.53413   0.04051   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  43 115 Tc   0.53505   0.04011   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 116 Tc   0.53502   0.03889   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 117 Tc   0.53442   0.03708   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 118 Tc   0.53364   0.03495   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 119 Tc   0.53309   0.03281   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 120 Tc   0.53318   0.03093   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 121 Tc   0.53435   0.02957   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  43 122 Tc   0.53707   0.02890   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  85 Ru   1.00733   0.08832   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  86 Ru   1.03501   0.09577   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  87 Ru   1.04490   0.09885   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44  88 Ru   1.03318   0.09588   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  44  89 Ru   1.00248   0.08799   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  44  90 Ru   0.95805   0.07760   1.06767   0.15612  30   8   7   4  3.03630  2.52400  1.984E-02       0             0.000
  44  91 Ru   0.90548   0.06713  -0.01623   0.15702  44  15   7   1  2.40930  0.00000  4.969E-02       0             5.207
  44  92 Ru   0.84967   0.05829   1.18524   0.12074  39   9   7   1  3.01450  0.00000  2.734E-02       0             0.000
  44  93 Ru   0.79436   0.05180   0.36199   0.11525  46  12   7   1  2.28050  0.00000  4.307E-02       0             5.200
  44  94 Ru   0.74207   0.04755   1.36247   0.10568  75  12   7   4  3.25470  2.49800  6.858E-02   F   0             3.302
  44  95 Ru   0.69431   0.04489   0.31707   0.10969  72  18   7   2  2.29400  0.78770  1.237E-01   F   0             3.573
  44  96 Ru   0.65187   0.04313   0.94836   0.13170 115  43   7   8  3.38051  2.46216  7.326E-03 *     0             3.288
  44  97 Ru   0.61505   0.04174  -0.17463   0.11030 135  27   7   4  2.02010  0.52784  4.717E-02 *     0             3.225
  44  98 Ru   0.58390   0.04040   0.71600   0.12116 135  40   7   9  2.86740  2.22265  1.414E-02 *     0             2.608
  44  99 Ru   0.55835   0.03894  -0.42093   0.10014 121  24   7   4  1.41405  0.34090  3.172E-02 *     0             2.579
  44 100 Ru   0.53832   0.03729   0.70744   0.12344 199  61   7  13  2.91555  2.09910  4.353E-03 *     0             2.543
  44 101 Ru   0.52358   0.03544  -0.69857   0.10612 151  30  13   9  1.11100  0.54512  1.043E-02 *     0             2.468
  44 102 Ru   0.51322   0.03351   0.71718   0.09069 137  27   7   7  2.46739  1.58056  2.249E-02 *     0             2.555
  44 103 Ru   0.50644   0.03163  -0.90238   0.10384 132  39  18   6  0.95440  0.23820  1.043E-02 *     0             2.291
  44 104 Ru   0.50263   0.02996   0.66098   0.08512  70  34   7  10  2.61897  1.55640  3.939E-02 *     0             3.034
  44 105 Ru   0.50131   0.02870  -0.89773   0.07916  72  37   7   4  0.90319  0.15952  1.514E-01   F   0             2.120
  44 106 Ru   0.50205   0.02806   0.29036   0.05813  50   9   7   2  1.39221  0.27007  4.896E-02       0             0.000
  44 107 Ru   0.50448   0.02822  -0.83900   0.07270  56  25   7   1  0.74142  0.00000  1.560E-01   F   0             3.511
  44 108 Ru   0.50824   0.02924   0.14053   0.06224  46  10   7   4  1.24917  0.70783  8.840E-02   F   0             2.564
  44 109 Ru   0.51293   0.03105  -0.92384   0.07153  57  15   7   1  0.40770  0.00000  2.447E-01   F   0             2.455
  44 110 Ru   0.51815   0.03340   0.14466   0.06713  87   8   7   2  1.23910  0.24073  4.079E-02       0             0.000
  44 111 Ru   0.52341   0.03595  -0.87437   0.09417  73  28   7   1  0.86350  0.00000  1.351E-01   F   0             3.459
  44 112 Ru   0.52819   0.03826   0.03103   0.08121  64  10   7   6  1.23534  0.98068  6.227E-02   F   0             3.142
  44 113 Ru   0.53191   0.03990   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  44 114 Ru   0.53413   0.04051   0.13581   0.08361  21   9   7   2  1.37250  0.26519  1.512E-01   F   0             0.000
  44 115 Ru   0.53505   0.04011   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  44 116 Ru   0.53502   0.03889   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  44 117 Ru   0.53442   0.03708   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  44 118 Ru   0.53364   0.03495   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  44 119 Ru   0.53309   0.03281   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  44 120 Ru   0.53318   0.03093   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 121 Ru   0.53435   0.02957   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 122 Ru   0.53707   0.02890   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 123 Ru   0.54185   0.02898   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 124 Ru   0.54932   0.02977   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  44 125 Ru   0.56023   0.03110   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  88 Rh   1.03318   0.09588   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  89 Rh   1.00248   0.08799   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45  90 Rh   0.95805   0.07760   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  45  91 Rh   0.90548   0.06713   0.00000   1.00000  19   1   1   1  0.00000  0.00000                  0             0.000
  45  92 Rh   0.84967   0.05829   0.28133   0.11701  23   8   7   1  2.15170  0.00000  1.132E-01   F   0             0.000
  45  93 Rh   0.79436   0.05180   0.61255   0.13841  32  15  14   1  2.89050  0.00000  1.293E-01   F   0             5.178
  45  94 Rh   0.74207   0.04755   0.47965   0.09798  40   9   7   1  2.27586  0.00000  2.417E-01   F   0             0.000
  45  95 Rh   0.69431   0.04489   1.25642   0.12001  46  15  14   1  3.12943  0.00000  8.297E-03       0             5.508
  45  96 Rh   0.65187   0.04313  -0.89059   0.10335  49  17   7   2  0.93876  0.05198  1.354E-01   F   0             3.722
  45  97 Rh   0.61505   0.04174  -0.22620   0.11885  87  21  14   2  1.63500  0.25876  2.444E-02       0             3.213
  45  98 Rh   0.58390   0.04040  -1.02634   0.09008  72  13   7   1  0.41090  0.00000  1.959E-01   F   0             0.000
  45  99 Rh   0.55835   0.03894  -0.38261   0.09396 159  17   7   2  1.16760  0.06440  2.451E-02 *     0             2.710
  45 100 Rh   0.53832   0.03729  -1.25871   0.10863  67  25  14   1  0.44551  0.00000  3.018E-02 *     0             2.668
  45 101 Rh   0.52358   0.03544  -0.35946   0.08565 128  17   7   3  1.05800  0.18178  3.117E-02 *     0             2.731
  45 102 Rh   0.51322   0.03351  -1.23332   0.10930 113  47  14   2  0.73075  0.04194  3.469E-02 *     0             3.394
  45 103 Rh   0.50644   0.03163  -0.38979   0.09588 215  42   9   6  1.53050  0.53684  2.424E-02 *     0             2.705
  45 104 Rh   0.50263   0.02996  -1.23989   0.11061 181  93  14   9  1.03094  0.21306  2.575E-02 *     0             3.012
  45 105 Rh   0.50131   0.02870  -0.59750   0.08841 144  45   9   6  1.40595  0.46937  2.739E-02 *     0             2.831
  45 106 Rh   0.50205   0.02806   0.04332   0.05784  26   9   7   1  1.20750  0.00000  2.387E-01   F   0             0.000
  45 107 Rh   0.50448   0.02822  -0.64033   0.08168  84  29  11   3  1.04195  0.26836  1.804E-02 *     0             2.751
  45 108 Rh   0.50824   0.02924   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  45 109 Rh   0.51293   0.03105  -0.64573   0.09408  79  30  14   3  1.09625  0.22587  4.700E-02       0             2.810
  45 110 Rh   0.51815   0.03340   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  45 111 Rh   0.52341   0.03595  -0.77373   0.10044  62  19  14   1  0.73270  0.00000  7.757E-02   F   0             2.784
  45 112 Rh   0.52819   0.03826  -0.44046   0.07890  21   9   7   1  0.74289  0.00000  6.387E-02   F   0             0.000
  45 113 Rh   0.53191   0.03990  -0.60497   0.11722  65  25  14   1  1.07573  0.00000  2.776E-02       0             3.104
  45 114 Rh   0.53413   0.04051   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  45 115 Rh   0.53505   0.04011  -0.42384   0.10724  32  15  14   1  1.01060  0.00000  3.809E-02       0             2.975
  45 116 Rh   0.53502   0.03889   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  45 117 Rh   0.53442   0.03708   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 118 Rh   0.53364   0.03495   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  45 119 Rh   0.53309   0.03281   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 120 Rh   0.53318   0.03093   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  45 121 Rh   0.53435   0.02957   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 122 Rh   0.53707   0.02890   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  45 123 Rh   0.54185   0.02898   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 124 Rh   0.54932   0.02977   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 125 Rh   0.56023   0.03110   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 126 Rh   0.57558   0.03279   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 127 Rh   0.59634   0.03464   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  45 128 Rh   0.62269   0.03652   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46  90 Pd   0.95805   0.07760   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46  91 Pd   0.90548   0.06713   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  46  92 Pd   0.84967   0.05829   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  46  93 Pd   0.79436   0.05180   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  46  94 Pd   0.74207   0.04755   0.00000   1.00000  17   1   1   2  0.00000  0.81380                  0             0.000
  46  95 Pd   0.69431   0.04489   0.51898   0.09297  40   9   7   1  2.02493  0.00000  1.708E-02       0             0.000
  46  96 Pd   0.65187   0.04313   0.00000   1.00000  15   1   1   2  0.00000  1.41531                  0             0.000
  46  97 Pd   0.61505   0.04174   0.33097   0.12665 171  43   7   1  2.63978  0.00000  3.839E-02       0             4.037
  46  98 Pd   0.58390   0.04040   1.16457   0.09811 204  17   7   3  2.78400  1.54124  4.513E-02       0             3.594
  46  99 Pd   0.55835   0.03894  -0.33643   0.08073  75   9   7   1  0.83245  0.00000  1.224E-01   F   0             0.000
  46 100 Pd   0.53832   0.03729   1.07240   0.09188  95  18   7   3  2.62150  1.41609  3.512E-02       0             2.846
  46 101 Pd   0.52358   0.03544  -0.36813   0.09243  66  26   7   1  1.61460  0.00000  5.381E-02 * F   0             2.864
  46 102 Pd   0.51322   0.03351   0.90218   0.09900  99  38   7   6  2.76900  1.65810  1.114E-02 *     0             2.560
  46 103 Pd   0.50644   0.03163  -0.49904   0.07579 105  17   7   4  0.90412  0.26686  1.785E-02 *     0             2.476
  46 104 Pd   0.50263   0.02996   0.74267   0.08771 150  36   7   8  2.53340  1.82065  1.141E-02 *     0             2.383
  46 105 Pd   0.50131   0.02870  -0.58773   0.08721 108  32  13   5  1.14234  0.34490  8.662E-03 *     0             2.506
  46 106 Pd   0.50205   0.02806   0.68030   0.08033 136  34   7   4  2.50031  1.13376  1.874E-02 *     0             2.343
  46 107 Pd   0.50448   0.02822  -0.60297   0.08250 104  47   7   5  1.59000  0.31220  3.721E-02 *     0             2.711
  46 108 Pd   0.50824   0.02924   0.54447   0.07030  93  17   7   8  2.09867  1.44118  6.028E-02 * F   0             2.487
  46 109 Pd   0.51293   0.03105  -0.97867   0.09508 138  33  14   3  0.84610  0.18899  1.091E-02 *     0             2.481
  46 110 Pd   0.51815   0.03340   0.17047   0.06722 193   8   7   6  1.21448  1.17065  8.280E-02   F   0             0.000
  46 111 Pd   0.52341   0.03595  -0.82291   0.08996  47  22   7   3  0.78890  0.17218  1.243E-01   F   0             2.587
